forecast_start_date,ADE_7_day_km,FDE_7_day_km
2020-01-01,0.5602121766405171,1.1660683806541028
2020-01-02,0.4029938567441255,0.8110592711019164
2020-01-03,0.3479869504580971,0.6089771624102867
2020-01-04,0.19935126976991865,0.25942973560962257
2020-01-05,0.0565674016117389,0.09284855430492625
2020-01-06,0.1299099366850145,0.3550091128018458
2020-01-07,0.21846714588645305,0.4888202358611998
2020-01-08,0.2738641702647667,0.5407061818487825
2020-01-09,0.23758301942219598,0.43420344918965237
2020-01-10,0.09831021496397534,0.17204287618183164
2020-01-11,0.0,0.0
2020-01-12,0.0,0.0
2020-01-13,0.0,0.0
2020-01-14,0.0,0.0
2020-01-15,0.0,0.0
2020-01-16,0.0,0.0
2020-01-17,0.0,0.0
2020-01-18,0.0,0.0
2020-01-19,0.0,0.0
2020-01-20,0.0,0.0
2020-01-21,0.0,0.0
2020-01-22,0.0,0.0
2020-01-23,0.0,0.0
2020-01-24,0.0,0.0
2020-01-25,0.003511079106003252,0.024577553742022765
2020-01-26,0.016385035826434347,0.09011769704301767
2020-01-27,0.04213294925731348,0.18023539401615393
2020-01-28,0.0815350591770313,0.27581476943802474
2020-01-29,0.1338111257548127,0.3659324660444698
2020-01-30,0.19545006987708877,0.4314726088559326
2020-01-31,0.26060009307224463,0.4560501623660908
2020-02-01,0.19584019066541475,0.2348521818798325
2020-02-02,0.07295243143482921,0.18296623773586862
2020-02-03,0.17204288477215232,0.5352445032690182
2020-02-04,0.300002204559416,0.7646350044572862
2020-02-05,0.4076752959425806,0.9066386478757282
2020-02-06,0.43303308908115323,0.8656760571487788
2020-02-07,0.35891030764845056,0.6280930374635705
2020-02-08,0.19935126976991865,0.25942973560962257
2020-02-09,0.0565674016117389,0.09284855430492625
2020-02-10,0.1299099366850145,0.3550091128018458
2020-02-11,0.21846714588645305,0.4888202358611998
2020-02-12,0.2738641702647667,0.5407061818487825
2020-02-13,0.23758301942219598,0.43420344918965237
2020-02-14,0.09831021496397534,0.17204287618183164
2020-02-15,0.0,0.0
2020-02-16,0.0,0.0
2020-02-17,0.0,0.0
2020-02-18,0.0,0.0
2020-02-19,0.0,0.0
2020-02-20,0.0,0.0
2020-02-21,0.0,0.0
2020-02-22,0.0,0.0
2020-02-23,0.0,0.0
2020-02-24,0.0,0.0
2020-02-25,0.0,0.0
2020-02-26,0.0,0.0
2020-02-27,0.0,0.0
2020-02-28,0.0,0.0
2020-02-29,0.0,0.0
2020-03-01,0.0,0.0
2020-03-02,0.0,0.0
2020-03-03,0.0,0.0
2020-03-04,0.0,0.0
2020-03-05,0.0,0.0
2020-03-06,0.0,0.0
2020-03-07,0.003511079106003252,0.024577553742022765
2020-03-08,0.016385035826434347,0.09011769704301767
2020-03-09,0.04213294925731348,0.18023539401615393
2020-03-10,0.0815350591770313,0.27581476943802474
2020-03-11,0.1338111257548127,0.3659324660444698
2020-03-12,0.19545006987708877,0.4314726088559326
2020-03-13,0.26060009307224463,0.4560501623660908
2020-03-14,0.19584019066541475,0.2348521818798325
2020-03-15,0.07295243143482921,0.18296623773586862
2020-03-16,0.17204288477215232,0.5352445032690182
2020-03-17,0.300002204559416,0.7646350044572862
2020-03-18,0.4076752959425806,0.9066386478757282
2020-03-19,0.43303308908115323,0.8656760571487788
2020-03-20,0.35891030764845056,0.6280930374635705
2020-03-21,0.19935126976991865,0.25942973560962257
2020-03-22,0.0565674016117389,0.09284855430492625
2020-03-23,0.1299099366850145,0.3550091128018458
2020-03-24,0.21846714588645305,0.4888202358611998
2020-03-25,0.2738641702647667,0.5407061818487825
2020-03-26,0.23758301942219598,0.43420344918965237
2020-03-27,0.09831021496397534,0.17204287618183164
2020-03-28,0.003511079106003252,0.024577553742022765
2020-03-29,0.016385035826434347,0.09011769704301767
2020-03-30,0.04213294925731348,0.18023539401615393
2020-03-31,0.0815350591770313,0.27581476943802474
2020-04-01,0.1338111257548127,0.3659324660444698
2020-04-02,0.19545006987708877,0.4314726088559326
2020-04-03,0.26060009307224463,0.4560501623660908
2020-04-04,0.19584019066541475,0.2348521818798325
2020-04-05,0.07295243143482921,0.18296623773586862
2020-04-06,0.17204288477215232,0.5352445032690182
2020-04-07,0.300002204559416,0.7646350044572862
2020-04-08,0.4076752959425806,0.9066386478757282
2020-04-09,0.43303308908115323,0.8656760571487788
2020-04-10,0.35891030764845056,0.6280930374635705
2020-04-11,0.19935126976991865,0.25942973560962257
2020-04-12,0.0565674016117389,0.09284855430492625
2020-04-13,0.1299099366850145,0.3550091128018458
2020-04-14,0.21846714588645305,0.4888202358611998
2020-04-15,0.2738641702647667,0.5407061818487825
2020-04-16,0.23758301942219598,0.43420344918965237
2020-04-17,0.09831021496397534,0.17204287618183164
2020-04-18,0.0,0.0
2020-04-19,0.0,0.0
2020-04-20,0.0,0.0
2020-04-21,0.0,0.0
2020-04-22,0.0,0.0
2020-04-23,0.0,0.0
2020-04-24,0.0,0.0
2020-04-25,0.003511079106003252,0.024577553742022765
2020-04-26,0.016385035826434347,0.09011769704301767
2020-04-27,0.04213294925731348,0.18023539401615393
2020-04-28,0.0815350591770313,0.27581476943802474
2020-04-29,0.1338111257548127,0.3659324660444698
2020-04-30,0.19545006987708877,0.4314726088559326
2020-05-01,0.26060009307224463,0.4560501623660908
2020-05-02,0.19584019066541475,0.2348521818798325
2020-05-03,0.07295243143482921,0.18296623773586862
2020-05-04,0.17204288477215232,0.5352445032690182
2020-05-05,0.300002204559416,0.7646350044572862
2020-05-06,0.4076752959425806,0.9066386478757282
2020-05-07,0.43303308908115323,0.8656760571487788
2020-05-08,0.35891030764845056,0.6280930374635705
2020-05-09,0.19935126976991865,0.25942973560962257
2020-05-10,0.0565674016117389,0.09284855430492625
2020-05-11,0.1299099366850145,0.3550091128018458
2020-05-12,0.21846714588645305,0.4888202358611998
2020-05-13,0.2738641702647667,0.5407061818487825
2020-05-14,0.23758301942219598,0.43420344918965237
2020-05-15,0.09831021496397534,0.17204287618183164
2020-05-16,0.0,0.0
2020-05-17,0.0,0.0
2020-05-18,0.0,0.0
2020-05-19,0.0,0.0
2020-05-20,0.0,0.0
2020-05-21,0.0,0.0
2020-05-22,0.0,0.0
2020-05-23,0.003511079106003252,0.024577553742022765
2020-05-24,0.016385035826434347,0.09011769704301767
2020-05-25,0.04213294925731348,0.18023539401615393
2020-05-26,0.0815350591770313,0.27581476943802474
2020-05-27,0.1338111257548127,0.3659324660444698
2020-05-28,0.19545006987708877,0.4314726088559326
2020-05-29,0.26060009307224463,0.4560501623660908
2020-05-30,0.19584019066541475,0.2348521818798325
2020-05-31,0.07295243143482921,0.18296623773586862
2020-06-01,0.17204288477215232,0.5352445032690182
2020-06-02,0.300002204559416,0.7646350044572862
2020-06-03,0.4076752959425806,0.9066386478757282
2020-06-04,0.43303308908115323,0.8656760571487788
2020-06-05,0.35891030764845056,0.6280930374635705
2020-06-06,0.8320211443668314,4.6881188577880115
2020-06-07,1.3109579824217492,4.426588791889549
2020-06-08,1.860899800423987,4.240473424974008
2020-06-09,2.4483720440808012,4.148621222475124
2020-06-10,3.0432607791134667,4.1136035102347295
2020-06-11,3.691891924541885,4.18578193992372
2020-06-12,4.42271166766187,4.369486672006699
2020-06-13,17.980185725341606,31.467095530184213
2020-06-14,0.0,0.0
2020-06-15,0.0,0.0
2020-06-16,0.0,0.0
